sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260731_175514_772;20260731_175514_772_i0001;2026-07-31T17:55:20.612+02:00;impulse_data_20260731_175514_772\impulse_0001_20260731_175514_772_i0001_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0001_20260731_175514_772_i0001_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;1;-1;-1;-1;-157,300;-1;1666696,000;1666747,000;1667246,000;50,000;1,000;0,920;0,246;0,1713;0,0754;0,0958;85,290;0,142160;1;1;1;1;10;8;100;0,050431;0,080522;0,007130;3,989;0,837;0,808;1,745;0,000012;-0,050004;0,025642;-0,080833;0,007757;;
20260731_175514_772;20260731_175514_772_i0002;2026-07-31T17:55:22.652+02:00;impulse_data_20260731_175514_772\impulse_0002_20260731_175514_772_i0002_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0002_20260731_175514_772_i0002_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;2;-1;-1;-1;-157,300;-1;1668696,000;1668747,000;1669246,004;50,004;1,000;0,931;0,276;0,1704;0,0764;0,0940;85,530;0,141382;1;1;1;1;10;8;100;0,056281;0,079728;0,001475;8,351;0,273;0,257;0,738;0,000001;-0,056882;0,028060;-0,052500;0,001557;;
20260731_175514_772;20260731_175514_772_i0003;2026-07-31T17:55:24.630+02:00;impulse_data_20260731_175514_772\impulse_0003_20260731_175514_772_i0003_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0003_20260731_175514_772_i0003_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;3;-1;-1;-1;-157,300;-1;1670695,000;1670747,000;1671245,012;50,012;1,000;0,934;0,244;0,1748;0,0780;0,0967;86,510;0,144423;1;1;1;1;10;8;100;0,055264;0,082073;0,004003;6,957;0,568;0,585;1,348;0,000005;-0,055669;0,027300;-0,066667;0,004289;;
20260731_175514_772;20260731_175514_772_i0004;2026-07-31T17:55:26.617+02:00;impulse_data_20260731_175514_772\impulse_0004_20260731_175514_772_i0004_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0004_20260731_175514_772_i0004_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;4;-1;-1;-1;-157,300;-1;1672695,000;1672747,000;1673245,000;50,000;1,000;0,925;0,235;0,1745;0,0772;0,0973;85,780;0,142775;1;1;1;1;10;8;100;0,052519;0,081292;0,006727;8,514;0,808;0,768;1,625;0,000011;-0,052806;0,028660;-0,069231;0,007228;;
20260731_175514_772;20260731_175514_772_i0005;2026-07-31T17:55:28.646+02:00;impulse_data_20260731_175514_772\impulse_0005_20260731_175514_772_i0005_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0005_20260731_175514_772_i0005_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;5;-1;-1;-1;-157,300;-1;1674695,000;1674746,000;1675244,996;49,996;1,000;0,927;0,263;0,1713;0,0763;0,0949;85,290;0,142457;1;1;1;1;10;8;100;0,054257;0,080085;0,002704;7,224;0,590;0,532;1,015;0,000003;-0,054905;0,026760;-0,071818;0,002913;;
20260731_175514_772;20260731_175514_772_i0006;2026-07-31T17:55:30.649+02:00;impulse_data_20260731_175514_772\impulse_0006_20260731_175514_772_i0006_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0006_20260731_175514_772_i0006_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;6;-1;-1;-1;-157,300;-1;1676695,000;1676746,000;1677245,004;50,004;1,000;0,920;0,237;0,1696;0,0759;0,0937;85,040;0,141213;1;1;1;1;10;8;100;0,078648;0,084266;-0,017949;9,149;;;;0,000000;-0,078799;0,028432;-0,068333;-0,019265;;
20260731_175514_772;20260731_175514_772_i0007;2026-07-31T17:55:32.634+02:00;impulse_data_20260731_175514_772\impulse_0007_20260731_175514_772_i0007_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0007_20260731_175514_772_i0007_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;7;-1;-1;-1;-157,300;-1;1678695,000;1678746,000;1679245,012;50,012;1,000;0,926;0,244;0,1730;0,0768;0,0962;85,040;0,141950;1;1;1;1;10;8;100;0,071570;0,087729;-0,012812;6,503;;;;0,000000;-0,072377;0,027333;-0,064615;-0,013698;;
20260731_175514_772;20260731_175514_772_i0008;2026-07-31T17:55:34.636+02:00;impulse_data_20260731_175514_772\impulse_0008_20260731_175514_772_i0008_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0008_20260731_175514_772_i0008_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;8;-1;-1;-1;-157,300;-1;1680695,000;1680746,000;1681245,004;50,004;1,000;0,927;0,260;0,1713;0,0761;0,0952;85,040;0,140884;1;1;1;1;10;8;100;0,075420;0,085339;-0,015940;8,479;;;;0,000000;-0,075620;0,028259;-0,062500;-0,017002;;
20260731_175514_772;20260731_175514_772_i0009;2026-07-31T17:55:36.658+02:00;impulse_data_20260731_175514_772\impulse_0009_20260731_175514_772_i0009_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0009_20260731_175514_772_i0009_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;9;-1;-1;-1;-157,300;-1;1682696,000;1682747,000;1683246,000;50,000;1,000;0,920;0,246;0,1714;0,0766;0,0948;86,020;0,142406;1;1;1;1;10;8;100;0,073306;0,086809;-0,011242;4,449;;;;0,000000;-0,072978;0,027157;-0,069167;-0,012077;;
20260731_175514_772;20260731_175514_772_i0010;2026-07-31T17:55:38.604+02:00;impulse_data_20260731_175514_772\impulse_0010_20260731_175514_772_i0010_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175514_772\impulse_0010_20260731_175514_772_i0010_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;10;-1;-1;-1;-157,300;-1;1684696,000;1684747,000;1685246,000;50,000;1,000;0,925;0,250;0,1719;0,0763;0,0957;84,800;0,141031;1;1;1;1;10;8;100;0,071738;0,086015;-0,014019;8,651;;;;0,000000;-0,071998;0,027587;-0,063077;-0,014963;;
