sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260731_175329_071;20260731_175329_071_i0001;2026-07-31T17:53:34.951+02:00;impulse_data_20260731_175329_071\impulse_0001_20260731_175329_071_i0001_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0001_20260731_175329_071_i0001_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;1;-1;-1;-1;-137,300;-1;1561055,000;1561106,000;1561604,992;49,992;1,000;0,913;0,245;;;;84,800;0,139033;1;1;1;1;10;8;100;0,024261;0,036399;0,010246;30,264;1,729;1,491;3,449;0,000033;-0,025770;0,021142;-0,080833;0,011147;;
20260731_175329_071;20260731_175329_071_i0002;2026-07-31T17:53:36.974+02:00;impulse_data_20260731_175329_071\impulse_0002_20260731_175329_071_i0002_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0002_20260731_175329_071_i0002_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;2;-1;-1;-1;-137,300;-1;1563056,000;1563107,000;1563606,008;50,008;1,000;0,921;0,234;;;;85,530;0,141101;1;1;1;1;10;8;100;0,033148;0,037615;-0,002106;29,124;;;;0,000000;-0,035577;0,017612;-0,065000;-0,002252;;
20260731_175329_071;20260731_175329_071_i0003;2026-07-31T17:53:38.950+02:00;impulse_data_20260731_175329_071\impulse_0003_20260731_175329_071_i0003_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0003_20260731_175329_071_i0003_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;3;-1;-1;-1;-137,300;-1;1565056,000;1565107,000;1565606,008;50,008;1,000;0,928;0,230;;;;85,780;0,141403;1;1;1;1;10;8;100;0,021102;0,032709;0,014201;32,925;2,043;1,614;3,785;0,000052;-0,022097;0,023188;-0,057500;0,015068;;
20260731_175329_071;20260731_175329_071_i0004;2026-07-31T17:53:40.953+02:00;impulse_data_20260731_175329_071\impulse_0004_20260731_175329_071_i0004_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0004_20260731_175329_071_i0004_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;4;-1;-1;-1;-137,300;-1;1567055,000;1567107,000;1567605,004;50,004;1,000;0,921;0,231;;;;84,800;0,140260;1;1;1;1;10;8;100;0,036449;0,035683;-0,002769;24,428;;;;0,000000;-0,037193;0,016377;-0,079231;-0,003007;;
20260731_175329_071;20260731_175329_071_i0005;2026-07-31T17:53:42.919+02:00;impulse_data_20260731_175329_071\impulse_0005_20260731_175329_071_i0005_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0005_20260731_175329_071_i0005_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;5;-1;-1;-1;-137,300;-1;1569055,000;1569106,000;1569604,992;49,992;1,000;0,925;0,241;;;;85,780;0,141353;1;1;1;1;10;8;100;0,023498;0,037258;0,006219;32,105;1,363;1,217;2,838;0,000017;-0,024700;0,018957;-0,063333;0,006639;;
20260731_175329_071;20260731_175329_071_i0006;2026-07-31T17:53:44.921+02:00;impulse_data_20260731_175329_071\impulse_0006_20260731_175329_071_i0006_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0006_20260731_175329_071_i0006_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;6;-1;-1;-1;-137,300;-1;1571055,000;1571106,000;1571604,996;49,996;1,000;0,919;0,246;;;;85,530;0,141374;1;1;1;1;10;8;100;0,025410;0,034368;0,007986;30,298;1,427;1,302;3,100;0,000024;-0,027169;0,019987;-0,065833;0,008549;;
20260731_175329_071;20260731_175329_071_i0007;2026-07-31T17:53:46.958+02:00;impulse_data_20260731_175329_071\impulse_0007_20260731_175329_071_i0007_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0007_20260731_175329_071_i0007_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;7;-1;-1;-1;-137,300;-1;1573055,000;1573106,000;1573604,992;49,992;1,000;0,914;0,232;;;;84,800;0,140653;1;1;1;1;10;8;100;0,038588;0,035376;-0,008586;33,460;;;;0,000000;-0,038531;0,018915;-0,071538;-0,009248;;
20260731_175329_071;20260731_175329_071_i0008;2026-07-31T17:53:48.959+02:00;impulse_data_20260731_175329_071\impulse_0008_20260731_175329_071_i0008_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0008_20260731_175329_071_i0008_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;8;-1;-1;-1;-137,300;-1;1575055,000;1575106,000;1575604,984;49,984;1,000;0,913;0,231;;;;85,290;0,140847;1;1;1;1;10;8;100;0,033198;0,038050;-0,000661;25,270;;;;0,000000;-0,034189;0,016629;-0,078462;-0,000717;;
20260731_175329_071;20260731_175329_071_i0009;2026-07-31T17:53:50.957+02:00;impulse_data_20260731_175329_071\impulse_0009_20260731_175329_071_i0009_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0009_20260731_175329_071_i0009_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;9;-1;-1;-1;-137,300;-1;1577055,000;1577106,000;1577604,988;49,988;1,000;0,920;0,225;;;;85,780;0,144752;1;1;1;1;10;8;100;0,033353;0,038209;-0,002579;28,519;;;;0,000000;-0,035118;0,016679;-0,071538;-0,002777;;
20260731_175329_071;20260731_175329_071_i0010;2026-07-31T17:53:52.928+02:00;impulse_data_20260731_175329_071\impulse_0010_20260731_175329_071_i0010_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175329_071\impulse_0010_20260731_175329_071_i0010_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;10;-1;-1;-1;-137,300;-1;1579056,000;1579107,000;1579605,988;49,988;1,000;0,919;0,247;;;;85,040;0,139901;1;1;1;1;10;8;100;0,038916;0,034570;-0,007987;31,248;;;;0,000000;-0,041919;0,018643;-0,075455;-0,008638;;
