sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_160240_752;20260918_160240_752_i0001;2026-09-18T16:02:46.968+02:00;impulse_0001_20260918_160240_752_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_160240_752_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-55,913;-1;5619890,000;5619937,000;5620440,000;50,000;3,000;2,97287;0,33235;0,4324;0,3143;0,1182;145,909;0,233520;1;1;1;0;2;0;71;0,207972;0,275561;0,398951;10,795;;4,391;;0,005437;-0,080828;0,255509;-0,027130;0,134197;;
20260918_160240_752;20260918_160240_752_i0002;2026-09-18T16:02:49.062+02:00;impulse_0002_20260918_160240_752_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_160240_752_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-55,913;-1;5621953,000;5622000,000;5622503,000;50,000;3,000;2,9655466666666666;0,6281733333333333;0,4351;0,3164;0,1187;144,871;0,231133;1;1;1;0;2;0;70;0,266465;0,285109;0,298064;0,019;;3,224;;0,000754;-0,214321;0,164485;-0,034453;0,100509;;
20260918_160240_752;20260918_160240_752_i0003;2026-09-18T16:02:51.047+02:00;impulse_0003_20260918_160240_752_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_160240_752_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-55,913;-1;5623984,000;5624031,000;5624534,000;50,000;3,000;2,9726233333333334;0,3372266666666667;0,4434;0,3223;0,1212;145,222;0,233114;1;1;1;0;2;0;72;0,145825;0,240261;0,514262;2,716;;19,173;;0,011139;0,174599;0,289978;-0,027377;0,172999;72,070;27,930
20260918_160240_752;20260918_160240_752_i0004;2026-09-18T16:02:53.179+02:00;impulse_0004_20260918_160240_752_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_160240_752_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-55,913;-1;5626062,000;5626109,000;5626612,000;50,000;3,000;2,9628;0,6594066666666667;0,4327;0,3139;0,1187;145,466;0,232892;1;1;1;0;2;0;71;0,188954;0,263077;-0,032520;12,789;;;;0,000000;-0,180378;0,077267;-0,037200;-0,010976;;
20260918_160240_752;20260918_160240_752_i0005;2026-09-18T16:02:55.213+02:00;impulse_0005_20260918_160240_752_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_160240_752_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-55,913;-1;5628125,000;5628171,000;5628675,000;50,000;3,000;2,9506533333333334;0,6554333333333333;0,4466;0,3237;0,1228;145,543;0,237223;1;1;1;0;2;0;76;0,238735;0,280117;-0,115307;0,279;;;;0,000000;-0,234049;0,060222;-0,132680;-0,039078;;
20260918_160240_752;20260918_160240_752_i0006;2026-09-18T16:03:00.310+02:00;impulse_0006_20260918_160240_752_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_160240_752_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-55,913;-1;5633156,000;5633234,000;5633706,000;50,000;3,250;3,25278;0,91159;0,4651;0,3362;0,1289;152,333;0,244481;1;1;1;0;2;0;72;0,266864;0,313009;0,399261;3,931;;4,219;;0,003360;-0,142555;0,265081;0,002780;0,122744;;
20260918_160240_752;20260918_160240_752_i0007;2026-09-18T16:03:02.347+02:00;impulse_0007_20260918_160240_752_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_160240_752_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-55,913;-1;5635218,000;5635265,000;5635768,000;50,000;3,250;3,204136666666667;0,7476;0,4636;0,3355;0,1282;152,196;0,245479;1;1;1;0;2;0;74;0,293974;0,311618;-0,130643;10,765;;;;0,000000;-0,289907;0,077701;-0,045863;-0,040773;;
20260918_160240_752;20260918_160240_752_i0008;2026-09-18T16:03:04.375+02:00;impulse_0008_20260918_160240_752_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_160240_752_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-55,913;-1;5637281,000;5637281,000;5637831,000;50,000;3,250;3,2223300000000004;0,7335633333333333;0,4648;0,3362;0,1287;151,524;0,245224;1;1;1;0;1;0;74;0,259326;0,307916;-0,150776;16,912;;;;0,000000;-0,257797;0,053107;-0,027670;-0,046791;;
20260918_160240_752;20260918_160240_752_i0009;2026-09-18T16:03:06.421+02:00;impulse_0009_20260918_160240_752_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_160240_752_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-55,913;-1;5639312,000;5639375,000;5639862,000;50,000;3,250;3,20005;1,10446;0,4503;0,3251;0,1252;151,402;0,243795;1;1;1;0;2;0;73;0,281155;0,316756;-0,110249;7,372;;;;0,000000;-0,273398;0,078451;-0,049950;-0,034452;;
20260918_160240_752;20260918_160240_752_i0010;2026-09-18T16:03:08.462+02:00;impulse_0010_20260918_160240_752_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_160240_752_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-55,913;-1;5641328,000;5641390,000;5641878,000;50,000;3,250;3,2385;0,01343;0,4543;0,3290;0,1253;151,845;0,248652;1;1;1;0;2;0;79;0,160499;0,265918;0,567288;2,557;;19,651;;0,012507;0,200523;0,318012;-0,011500;0,175170;71,006;28,994
