sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_143036_266;20260918_143036_266_i0001;2026-09-18T14:30:42.623+02:00;impulse_0001_20260918_143036_266_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_143036_266_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-1;-1;95640,000;95687,000;96190,000;50,000;3,000;2,979153333333333;0,6127066666666666;0,3789;0,2008;0,1781;144,688;0,233263;1;1;1;0;2;0;72;0,050932;0,136187;0,468668;16,450;;21,178;;0,015888;0,321490;0,170837;-0,020847;0,157316;53,643;46,357
20260918_143036_266;20260918_143036_266_i0002;2026-09-18T14:30:44.700+02:00;impulse_0002_20260918_143036_266_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_143036_266_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-1;-1;97671,000;97750,000;98221,000;50,000;3,000;2,99423;0,01251;0,3739;0,1976;0,1763;144,490;0,233266;1;1;1;0;2;0;73;0,000096;0,000741;0,520379;32,970;8,319;21,497;49,194;0,025881;0,453294;0,039112;-0,005770;0,173794;52,960;47,040
20260918_143036_266;20260918_143036_266_i0003;2026-09-18T14:30:46.716+02:00;impulse_0003_20260918_143036_266_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_143036_266_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-1;-1;99750,000;99796,000;100300,000;50,000;3,000;2,963836666666667;0,6535033333333333;0,3751;0,1983;0,1768;145,268;0,233064;1;1;1;0;2;0;71;0,100820;0,180299;0,420500;4,659;;21,303;;0,009554;0,166586;0,229762;-0,036163;0,141877;54,119;45,881
20260918_143036_266;20260918_143036_266_i0004;2026-09-18T14:30:48.778+02:00;impulse_0004_20260918_143036_266_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_143036_266_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-1;-1;101765,000;101812,000;102315,000;50,000;3,000;2,9830033333333335;0,33072;0,3757;0,1985;0,1772;144,780;0,232373;1;1;1;0;2;0;70;0,000056;0,000679;0,511542;32,571;7,858;20,722;49,367;0,025780;0,450919;0,037899;-0,016997;0,171485;52,863;47,137
20260918_143036_266;20260918_143036_266_i0005;2026-09-18T14:30:50.831+02:00;impulse_0005_20260918_143036_266_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_143036_266_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-1;-1;103812,000;103890,000;104362,000;50,000;3,000;2,98929;0,0119;0,3774;0,1992;0,1782;144,673;0,232031;1;1;1;0;2;0;71;0,000094;0,000819;0,519187;36,254;8,099;21,820;49,248;0,025812;0,458405;0,037776;-0,010710;0,173683;53,233;46,767
20260918_143036_266;20260918_143036_266_i0006;2026-09-18T14:30:52.876+02:00;impulse_0006_20260918_143036_266_i0006_p3p000bar_mask7_timeseries.csv;impulse_0006_20260918_143036_266_i0006_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-1;-1;105890,000;105953,000;106440,000;50,000;3,000;2,94498;0,96774;0,3730;0,1969;0,1762;145,161;0,232435;1;1;1;0;2;0;71;0,102990;0,181943;0,417276;4,258;;20,997;;0,009292;0,158642;0,230913;-0,055020;0,141691;53,481;46,519
20260918_143036_266;20260918_143036_266_i0007;2026-09-18T14:30:54.906+02:00;impulse_0007_20260918_143036_266_i0007_p3p000bar_mask7_timeseries.csv;impulse_0007_20260918_143036_266_i0007_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-1;-1;107906,000;107953,000;108456,000;50,000;3,000;2,979643333333333;0,32726;0,3736;0,1972;0,1763;145,405;0,234043;1;1;1;0;2;0;71;-0,000101;0,000360;0,516933;40,767;8,227;21,607;49,716;0,025998;0,464721;0,030470;-0,020357;0,173488;53,307;46,693
20260918_143036_266;20260918_143036_266_i0008;2026-09-18T14:30:57.032+02:00;impulse_0008_20260918_143036_266_i0008_p3p000bar_mask7_timeseries.csv;impulse_0008_20260918_143036_266_i0008_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-1;-1;109984,000;110062,000;110534,000;50,000;3,000;2,97775;0,91159;0,3756;0,1977;0,1779;144,978;0,234030;1;1;1;0;2;0;72;0,056969;0,143313;0,453228;15,178;;20,713;;0,014930;0,292992;0,192158;-0,022250;0,152205;52,852;47,148
20260918_143036_266;20260918_143036_266_i0009;2026-09-18T14:30:59.011+02:00;impulse_0009_20260918_143036_266_i0009_p3p000bar_mask7_timeseries.csv;impulse_0009_20260918_143036_266_i0009_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-1;-1;112046,000;112093,000;112596,000;50,000;3,000;2,9659133333333334;0,6519733333333334;0,3775;0,1996;0,1779;145,619;0,233807;1;1;1;0;2;0;71;0,105082;0,182909;0,409722;4,132;;20,864;;0,009135;0,158411;0,230535;-0,034087;0,138144;53,942;46,058
20260918_143036_266;20260918_143036_266_i0010;2026-09-18T14:31:01.118+02:00;impulse_0010_20260918_143036_266_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_143036_266_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-1;-1;114109,000;114109,000;114659,000;50,000;3,250;2,98434;0,6489233333333334;0,3740;0,1973;0,1768;145,039;0,237850;1;1;1;0;1;0;78;0,182639;0,215917;0,285213;3,743;;4,342;;0,002226;-0,105164;0,191114;-0,265660;0,095570;;
