sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_135015_497;20260918_135015_497_i0001;2026-09-18T13:50:21.712+02:00;impulse_0001_20260918_135015_497_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_135015_497_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-95,897;-1;786766,000;786860,000;787316,000;50,000;3,000;2,930;1,023;0,2132;0,1094;0,1038;147,221;0,236025;1;1;1;0;3;1;73;-0,001811;0,000581;0,309848;45,465;8,020;42,873;48,782;0,015469;0,292886;0,009524;-0,027317;0,104232;57,292;42,708
20260918_135015_497;20260918_135015_497_i0002;2026-09-18T13:50:23.846+02:00;impulse_0002_20260918_135015_497_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_135015_497_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-95,897;-1;788860,000;788860,000;789410,000;50,000;3,000;2,930633333333333;0,6728299999999999;0,2238;0,1150;0,1088;146,855;0,235036;1;1;1;0;1;0;71;0,043719;0,096632;0,231141;11,293;;20,351;;0,006666;0,106823;0,134700;-0,069367;0,078870;48,411;51,589
20260918_135015_497;20260918_135015_497_i0003;2026-09-18T13:50:25.855+02:00;impulse_0003_20260918_135015_497_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_135015_497_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-95,897;-1;790906,000;790953,000;791456,000;50,000;3,000;2,9393000000000002;0,6854466666666666;0,2153;0,1104;0,1050;145,329;0,232752;1;1;1;0;2;0;71;0,008790;0,040771;0,304566;3,562;;42,372;;0,012592;0,234840;0,034195;-0,060700;0,103619;52,280;47,720
20260918_135015_497;20260918_135015_497_i0004;2026-09-18T13:50:27.926+02:00;impulse_0004_20260918_135015_497_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_135015_497_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-95,897;-1;792953,000;793000,000;793503,000;50,000;3,000;2,9325833333333335;0,69094;0,2160;0,1111;0,1049;146,413;0,235197;1;1;1;0;2;0;71;0,021824;0,071659;0,279005;0,244;;41,625;;0,009870;0,200022;0,057818;-0,067417;0,095140;51,877;48,123
20260918_135015_497;20260918_135015_497_i0005;2026-09-18T13:50:30.006+02:00;impulse_0005_20260918_135015_497_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_135015_497_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-95,897;-1;794985,000;795063,000;795535,000;50,000;3,000;3,00156;0,82492;0,2204;0,1129;0,1075;145,634;0,236319;1;1;1;0;2;0;76;-0,001312;0,000636;0,311402;20,759;8,313;42,803;48,439;0,014961;0,255088;0,029144;0,001560;0,103747;51,967;48,033
20260918_135015_497;20260918_135015_497_i0006;2026-09-18T13:50:34.984+02:00;impulse_0006_20260918_135015_497_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_135015_497_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-95,897;-1;800016,000;800063,000;800566,000;50,000;3,250;3,2393566666666667;0,38331000000000004;0,2386;0,1221;0,1165;153,142;0,245229;1;1;1;0;2;0;72;-0,001601;0,000597;0,356732;38,150;8,447;42,839;48,435;0,017008;0,309971;0,035964;-0,010643;0,110124;53,582;46,418
20260918_135015_497;20260918_135015_497_i0007;2026-09-18T13:50:37.066+02:00;impulse_0007_20260918_135015_497_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_135015_497_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-95,897;-1;802094,000;802141,000;802644,000;50,000;3,250;3,2184833333333334;0,7484166666666667;0,2339;0,1191;0,1148;153,554;0,248526;1;1;1;0;2;0;75;-0,001360;0,001958;0,353879;10,859;8,492;42,688;48,455;0,016808;0,269839;0,040503;-0,031517;0,109952;51,016;48,984
20260918_135015_497;20260918_135015_497_i0008;2026-09-18T13:50:39.098+02:00;impulse_0008_20260918_135015_497_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_135015_497_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-95,897;-1;804125,000;804172,000;804675,000;50,000;3,250;3,228493333333333;0,6502466666666666;0,2390;0,1233;0,1157;153,783;0,246459;1;1;1;0;2;0;71;-0,001562;0,000693;0,346177;26,670;8,278;42,607;48,688;0,016898;0,281509;0,034749;-0,021507;0,107226;52,831;47,169
20260918_135015_497;20260918_135015_497_i0009;2026-09-18T13:50:41.174+02:00;impulse_0009_20260918_135015_497_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_135015_497_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-95,897;-1;806203,000;806250,000;806753,000;50,000;3,250;3,19895;0,7547233333333334;0,2374;0,1217;0,1157;152,867;0,244968;1;1;1;0;2;0;73;-0,000339;0,006671;0,347364;9,287;;42,404;48,344;0,016502;0,272739;0,036996;-0,051050;0,108587;51,414;48,586
20260918_135015_497;20260918_135015_497_i0010;2026-09-18T13:50:43.249+02:00;impulse_0010_20260918_135015_497_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_135015_497_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-95,897;-1;808219,000;808297,000;808769,000;50,000;3,250;3,2385;0,00763;0,2327;0,1188;0,1139;152,562;0,248244;1;1;1;0;2;0;74;-0,001525;0,000576;0,347292;32,767;8,224;42,699;48,681;0,017011;0,279756;0,043489;-0,011500;0,107239;51,290;48,710
