sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_141050_123;20260918_141050_123_i0001;2026-09-18T14:10:56.417+02:00;impulse_0001_20260918_141050_123_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_141050_123_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-55,913;-1;2021438,000;2021485,000;2021988,000;50,000;3,000;2,9495533333333332;0,6597066666666667;0,3820;0,2352;0,1468;146,138;0,234102;1;1;1;0;2;0;70;0,011482;0,049060;0,516092;5,240;;41,357;;0,023432;0,459976;0,035563;-0,050447;0,174973;63,590;36,410
20260918_141050_123;20260918_141050_123_i0002;2026-09-18T14:10:58.507+02:00;impulse_0002_20260918_141050_123_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_141050_123_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-55,913;-1;2023469,000;2023547,000;2024019,000;50,000;3,000;3,00998;0,01282;0,3858;0,2376;0,1482;145,558;0,234015;1;1;1;0;2;0;71;0,000323;0,000576;0,528018;27,601;7,868;41,237;49,117;0,026701;0,474761;0,035154;0,009980;0,175422;64,082;35,918
20260918_141050_123;20260918_141050_123_i0003;2026-09-18T14:11:00.532+02:00;impulse_0003_20260918_141050_123_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_141050_123_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-55,913;-1;2025531,000;2025578,000;2026081,000;50,000;3,000;2,9641433333333334;0,5442466666666667;0,3843;0,2370;0,1473;145,024;0,234334;1;1;1;0;2;0;74;0,000124;0,000844;0,527333;16,555;7,886;41,393;49,120;0,026622;0,478559;0,036148;-0,035857;0,177904;63,430;36,570
20260918_141050_123;20260918_141050_123_i0004;2026-09-18T14:11:02.595+02:00;impulse_0004_20260918_141050_123_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_141050_123_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-55,913;-1;2027594,000;2027641,000;2028144,000;50,000;3,000;2,9552933333333335;0,6409866666666667;0,3867;0,2390;0,1477;145,604;0,232955;1;1;1;0;2;0;70;0,003105;0,014704;0,523966;28,838;;20,178;49,070;0,025509;0,468019;0,035948;-0,044707;0,177297;63,514;36,486
20260918_141050_123;20260918_141050_123_i0005;2026-09-18T14:11:04.625+02:00;impulse_0005_20260918_141050_123_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_141050_123_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-55,913;-1;2029625,000;2029672,000;2030175,000;50,000;3,000;2,9701233333333334;0,5171833333333333;0,3830;0,2357;0,1472;145,940;0,238633;1;1;1;0;2;0;76;-0,000178;0,000558;0,527704;41,896;7,924;20,337;49,182;0,026648;0,480977;0,037149;-0,113210;0,177671;63,231;36,769
20260918_141050_123;20260918_141050_123_i0006;2026-09-18T14:11:09.688+02:00;impulse_0006_20260918_141050_123_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_141050_123_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-55,913;-1;2034703,000;2034750,000;2035253,000;50,000;3,250;3,232763333333333;0,7359066666666667;0,4086;0,2498;0,1588;153,249;0,246708;1;1;1;0;2;0;73;0,070687;0,171461;0,517667;13,920;;20,148;;0,015641;0,331011;0,231233;-0,017237;0,160131;62,383;37,617
20260918_141050_123;20260918_141050_123_i0007;2026-09-18T14:11:11.726+02:00;impulse_0007_20260918_141050_123_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_141050_123_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-55,913;-1;2036766,000;2036766,000;2037316,000;50,000;3,250;3,2295933333333333;0,7257333333333333;0,4122;0,2544;0,1578;152,501;0,245753;1;1;1;0;1;0;73;0,109393;0,202484;0,465871;6,147;;19,280;;0,011802;0,221006;0,257732;-0,020407;0,144251;61,279;38,721
20260918_141050_123;20260918_141050_123_i0008;2026-09-18T14:11:13.802+02:00;impulse_0008_20260918_141050_123_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_141050_123_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-55,913;-1;2038797,000;2038844,000;2039347,000;50,000;3,250;3,2142733333333333;0,7266433333333333;0,4178;0,2581;0,1598;152,501;0,244428;1;1;1;0;2;0;71;0,014333;0,059359;0,567809;24,373;;20,058;;0,025537;0,507991;0,037245;-0,035727;0,176652;63,621;36,379
20260918_141050_123;20260918_141050_123_i0009;2026-09-18T14:11:15.825+02:00;impulse_0009_20260918_141050_123_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_141050_123_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-55,913;-1;2040844,000;2040891,000;2041394,000;50,000;3,250;3,2026733333333333;0,7353933333333333;0,4164;0,2576;0,1588;151,982;0,244280;1;1;1;0;2;0;71;0,047250;0,140267;0,537152;18,526;;19,896;;0,019771;0,421166;0,138065;-0,047327;0,167720;63,274;36,726
20260918_141050_123;20260918_141050_123_i0010;2026-09-18T14:11:17.843+02:00;impulse_0010_20260918_141050_123_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_141050_123_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-55,913;-1;2042875,000;2042953,000;2043425,000;50,000;3,250;3,2266;0,88412;0,4112;0,2532;0,1580;152,760;0,249500;1;1;1;0;2;0;78;-0,000262;0,000854;0,591451;37,215;8,275;20,560;49,162;0,029496;0,530418;0,041169;-0,023400;0,183305;63,288;36,712
