sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_135731_328;20260918_135731_328_i0001;2026-09-18T13:57:37.653+02:00;impulse_0001_20260918_135731_328_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_135731_328_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-75,905;-1;1222656,000;1222703,000;1223206,000;50,000;3,000;2,971283333333333;0,6735399999999999;0,4263;0,2534;0,1730;148,015;0,237860;1;1;1;0;2;0;73;0,026575;0,099425;0,550205;21,899;;20,613;;0,023302;0,487623;0,050429;-0,028717;0,185174;59,855;40,145
20260918_135731_328;20260918_135731_328_i0002;2026-09-18T13:57:39.703+02:00;impulse_0002_20260918_135731_328_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_135731_328_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-75,905;-1;1224688,000;1224766,000;1225238,000;50,000;3,000;3,00412;0,01404;0,4116;0,2450;0,1666;145,955;0,234635;1;1;1;0;2;0;72;-0,002249;0,002370;0,586822;48,040;8,421;20,510;49,627;0,030169;0,527203;0,032282;0,004120;0,195339;60,490;39,510
20260918_135731_328;20260918_135731_328_i0003;2026-09-18T13:57:41.729+02:00;impulse_0003_20260918_135731_328_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_135731_328_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-75,905;-1;1226750,000;1226797,000;1227300,000;50,000;3,000;2,972503333333333;0,56093;0,4143;0,2469;0,1674;145,253;0,232718;1;1;1;0;2;0;71;-0,002218;0,002913;0,581172;31,418;8,388;20,930;49,670;0,030123;0,523476;0,037144;-0,027497;0,195516;59,923;40,077
20260918_135731_328;20260918_135731_328_i0004;2026-09-18T13:57:43.794+02:00;impulse_0004_20260918_135731_328_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_135731_328_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-75,905;-1;1228813,000;1228860,000;1229363,000;50,000;3,000;2,9598066666666667;0,6728299999999999;0,4245;0,2516;0,1729;146,825;0,235794;1;1;1;0;2;0;73;0,031498;0,110996;0,540480;1,379;;40,820;;0,022235;0,474741;0,055407;-0,040193;0,182607;59,822;40,178
20260918_135731_328;20260918_135731_328_i0005;2026-09-18T13:57:45.798+02:00;impulse_0005_20260918_135731_328_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_135731_328_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-75,905;-1;1230844,000;1230891,000;1231394,000;50,000;3,000;2,9814133333333332;0,33610666666666666;0,4097;0,2438;0,1659;145,985;0,237471;1;1;1;0;2;0;74;-0,002325;0,002356;0,579204;40,180;8,303;21,097;49,717;0,029742;0,534594;0,034364;-0,101920;0,194272;60,380;39,620
20260918_135731_328;20260918_135731_328_i0006;2026-09-18T13:57:50.904+02:00;impulse_0006_20260918_135731_328_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_135731_328_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-75,905;-1;1235922,000;1235969,000;1236472,000;50,000;3,250;3,209146666666667;0,7528933333333333;0,4062;0,2402;0,1660;152,959;0,245585;1;1;1;0;2;0;73;0,101552;0,213155;0,553290;9,465;;20,261;;0,015483;0,277348;0,305936;-0,040853;0,172410;57,542;42,458
20260918_135731_328;20260918_135731_328_i0007;2026-09-18T13:57:52.980+02:00;impulse_0007_20260918_135731_328_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_135731_328_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-75,905;-1;1237985,000;1237985,000;1238535,000;50,000;3,250;3,2266033333333333;0,7417033333333334;0,4516;0,2681;0,1835;152,898;0,246429;1;1;1;0;1;0;74;0,172995;0,261812;0,441265;0,267;;19,387;;0,007697;0,076762;0,288349;-0,023397;0,136758;56,017;43,983
20260918_135731_328;20260918_135731_328_i0008;2026-09-18T13:57:54.968+02:00;impulse_0008_20260918_135731_328_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_135731_328_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-75,905;-1;1240016,000;1240063,000;1240566,000;50,000;3,250;3,21848;0,7519733333333334;0,4503;0,2672;0,1831;152,257;0,246080;1;1;1;0;2;0;73;0,078176;0,190374;0,559226;12,728;;20,381;;0,017980;0,350754;0,266641;-0,031520;0,173755;58,635;41,365
20260918_135731_328;20260918_135731_328_i0009;2026-09-18T13:57:56.979+02:00;impulse_0009_20260918_135731_328_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_135731_328_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-75,905;-1;1242031,000;1242125,000;1242581,000;50,000;3,250;3,198;1,118;0,4542;0,2695;0,1847;153,737;0,248076;1;1;1;0;3;1;73;-0,002102;0,002381;0,643519;33,109;8,432;41,083;49,882;0,033133;0,581306;0,039850;-0,026087;0,199608;60,356;39,644
20260918_135731_328;20260918_135731_328_i0010;2026-09-18T13:57:59.093+02:00;impulse_0010_20260918_135731_328_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_135731_328_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-75,905;-1;1244110,000;1244188,000;1244660,000;50,000;3,250;3,21671;1,05411;0,4386;0,2604;0,1782;152,379;0,248995;1;1;1;0;2;0;75;0,010170;0,054139;0,636918;25,542;;20,813;;0,029767;0,570336;0,040064;-0,033290;0,198003;59,969;40,031
