impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
1,-1,6,1,-1,-1,47065.000,47166.000,47664.984,99.984,1.500,1.451,0.838,0.2447,0.1545,0.0902,169.600,0.381952,1,1,1,1,20,18,100,0.000674,0.000475,0.303326,63.726,10.094,88.120,98.740,0.027790,0.259164,0.022157,-0.043810,0.208301,61.020,38.980
2,-1,6,1,-1,-1,49065.000,49167.000,49665.000,100.000,1.500,1.457,0.837,0.2449,0.1554,0.0895,169.840,0.382547,1,1,1,1,20,18,100,0.000808,0.000391,0.307417,65.198,13.507,88.235,100.393,0.028290,0.260992,0.023601,-0.039000,0.210416,60.959,39.041
3,-1,6,1,-1,-1,51065.000,51167.000,51664.992,99.992,1.500,1.451,0.817,0.2468,0.1557,0.0911,170.330,0.382583,1,1,1,1,20,18,100,0.000841,0.000394,0.307625,63.442,9.891,88.427,98.606,0.027744,0.260390,0.022437,-0.045238,0.211460,60.918,39.082
4,-1,6,1,-1,-1,53065.000,53167.000,53664.996,99.996,1.500,1.449,0.839,0.2457,0.1558,0.0899,169.840,0.384210,1,1,1,1,20,18,100,0.000832,0.000480,0.308538,64.467,12.886,88.496,100.250,0.028313,0.262143,0.022264,-0.045500,0.212127,60.944,39.056
5,-1,6,1,-1,-1,55065.000,55166.000,55665.004,100.004,1.500,1.455,0.851,0.2447,0.1549,0.0899,170.580,0.381656,1,1,1,1,20,18,100,0.000975,0.000441,0.310621,63.478,10.116,88.787,98.555,0.028313,0.260604,0.023847,-0.040000,0.212754,61.024,38.976
6,-1,6,1,-1,-1,62065.000,62167.000,62665.000,100.000,1.600,1.558,0.881,0.2661,0.1679,0.0982,178.150,0.399399,1,1,1,1,20,18,100,0.000958,0.000410,0.329692,66.895,9.718,88.417,98.873,0.030071,0.285226,0.022797,-0.013333,0.207789,60.932,39.068
7,-1,6,1,-1,-1,64065.000,64166.000,64664.988,99.988,1.600,1.558,0.891,0.2664,0.1689,0.0976,179.370,0.400289,1,1,1,1,20,18,100,0.001034,0.000443,0.335251,64.132,11.920,88.584,99.938,0.030428,0.284756,0.024735,-0.037000,0.214492,61.093,38.907
8,-1,6,1,-1,-1,66065.000,66166.000,66665.000,100.000,1.600,1.556,0.872,0.2687,0.1696,0.0991,179.130,0.399885,1,1,1,1,20,18,100,0.000904,0.000556,0.337381,67.474,10.903,88.578,99.108,0.030410,0.288884,0.024079,-0.038500,0.216062,61.079,38.921
9,-1,6,1,-1,-1,68065.000,68166.000,68665.000,100.000,1.600,1.551,0.862,0.2671,0.1687,0.0984,179.130,0.399723,1,1,1,1,20,18,100,0.000951,0.000462,0.334327,62.658,11.216,88.353,99.400,0.030404,0.284428,0.024192,-0.042857,0.214705,61.002,38.998
10,-1,6,1,-1,-1,70065.000,70166.000,70664.992,99.992,1.600,1.556,0.857,0.2658,0.1682,0.0976,179.130,0.400106,1,1,1,1,20,18,100,0.000985,0.000444,0.335394,63.229,11.051,88.193,99.209,0.031147,0.283853,0.025664,-0.038571,0.214799,61.030,38.970
